dbn,tract,tract_lookup,tract_guess,boro
02M419,008900,008900,008900,Manhattan
31R064,027702,027702,027702,Staten Island
19K618,118000,118000,118000,Brooklyn
12X372,036300,036300,036300,Bronx
10X434,038700,038700,038700,Bronx
10X353,040900,040900,040900,Bronx
12X278,013100,,013100,Bronx
18K589,088000,088000,088000,Brooklyn
07X670,006300,006300,006300,Bronx
10X213,030900,030900,030900,Bronx
02M489,001300,,001300,Manhattan
09X241,016700,016700,016700,Bronx
02M298,001600,001600,001600,Manhattan
21K620,036600,036600,036600,Brooklyn
19K639,118000,118000,118000,Brooklyn
13K430,003300,003300,003300,Brooklyn
02M425,001300,001300,001300,Manhattan
07X547,006100,006100,006100,Bronx
02M630,010800,010800,010800,Manhattan
02M605,008900,008900,008900,Manhattan
18K633,099000,099000,099000,Brooklyn
08X559,013300,013300,013300,Bronx
13K419,001500,,001500,Brooklyn
02M600,009100,009100,009100,Manhattan
02M500,007200,007200,007200,Manhattan
12X550,005600,005600,005600,Bronx
12X692,005600,005600,005600,Bronx
17K590,032100,032100,032100,Brooklyn
10X549,040900,040900,040900,Bronx
03M492,015100,015100,015100,Manhattan
22K535,061600,061600,061600,Brooklyn
27Q400,029400,029400,029400,Queens
11X508,032400,032400,032400,Bronx
07X527,006100,006100,006100,Bronx
03M860,021800,021800,021800,Manhattan
12X271,016100,016100,016100,Bronx
31R600,000900,000900,000900,Staten Island
24Q600,018900,018900,018900,Queens
14K610,051700,051700,051700,Brooklyn
04M555,017401,017401,017401,Manhattan
28Q686,064500,,064500,Queens
10X442,040900,040900,040900,Bronx
17K382,079400,079400,079400,Brooklyn
09X404,013500,013500,013500,Bronx
27Q351,094201,094201,094201,Queens
26Q415,138501,138501,138501,Queens
11X288,032400,032400,032400,Bronx
31R605,013400,013400,013400,Staten Island
10X374,038700,038700,038700,Bronx
07X495,007100,007100,007100,Bronx
29Q243,053401,,053401,Queens
25Q670,077908,077908,077908,Queens
15K497,006900,006900,006900,Brooklyn
02M437,008900,008900,008900,Manhattan
11X299,032400,032400,032400,Bronx
05M362,020901,020901,020901,Manhattan
29Q248,033000,033000,033000,Queens
05M670,022800,022800,022800,Manhattan
